No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
109885;309.899.649;34.120.3.51;192.168.100.42;TLSv1.3;294;[TCP Previous segment not captured] , Continuation Data;;;309.899.649;309.959.707;60.058;60058;49237;-10821
109928;309.959.707;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;309.959.707;310.008.944;49.237;49237;43364;-5873
109975;310.008.944;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.008.944;310.052.308;43.364;43364;1424;-41940
110027;310.052.308;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.052.308;310.053.732;1.424;1424;2906;1482
110030;310.053.732;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.053.732;310.056.638;2.906;2906;2367;-539
110034;310.056.638;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.056.638;310.059.005;2.367;2367;50137;47770
110037;310.059.005;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;310.059.005;310.109.142;50.137;50137;3113570;3063433
110072;310.109.142;34.120.3.51;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62334 [ACK] Seq=179675 Ack=2216 Win=80896 Len=0 SLE=2177 SRE=2216;;;310.109.142;313.222.712;3.113.570;3113570;10877;-3102693
111410;313.222.712;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;313.222.712;313.233.589;10.877;10877;1383777;1372900
111426;313.233.589;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;313.233.589;314.617.366;1.383.777;1383777;6341;-1377436
111735;314.617.366;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;314.617.366;314.623.707;6.341;6341;71798;65457
111745;314.623.707;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;314.623.707;314.695.505;71.798;71798;5411;-66387
111835;314.695.505;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.695.505;314.700.916;5.411;5411;1708;-3703
111841;314.700.916;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.700.916;314.702.624;1.708;1708;45979;44271
111847;314.702.624;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.702.624;314.748.603;45.979;45979;4590;-41389
111889;314.748.603;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;314.748.603;314.753.193;4.590;4590;717375;712785
111893;314.753.193;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62299 [ACK] Seq=73645 Ack=1094 Win=69888 Len=1412;;;314.753.193;315.470.568;717.375;717375;7749;-709626
112211;315.470.568;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.470.568;315.478.317;7.749;7749;2409;-5340
112220;315.478.317;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.478.317;315.480.726;2.409;2409;12953;10544
112224;315.480.726;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.480.726;315.493.679;12.953;12953;51298;38345
112242;315.493.679;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.493.679;315.544.977;51.298;51298;76651;25353
112299;315.544.977;34.120.3.51;192.168.100.42;TLSv1.3;1024;[TCP Previous segment not captured] , Application Data;;;315.544.977;315.621.628;76.651;76651;3775;-72876
112347;315.621.628;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.621.628;315.625.403;3.775;3775;3212;-563
112363;315.625.403;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data, Application Data;;;315.625.403;315.628.615;3.212;3212;8274;5062
112366;315.628.615;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;315.628.615;315.636.889;8.274;8274;240063;231789
112370;315.636.889;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;315.636.889;315.876.952;240.063;240063;92214;-147849
112499;315.876.952;34.120.3.51;192.168.100.42;TLSv1.3;1011;[TCP Previous segment not captured] , Application Data;;;315.876.952;315.969.166;92.214;92214;23115;-69099
112544;315.969.166;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;315.969.166;315.992.281;23.115;23115;19285;-3830
112575;315.992.281;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62334 [ACK] Seq=286221 Ack=4058 Win=117760 Len=1412 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;315.992.281;316.011.566;19.285;19285;10069;-9216
112594;316.011.566;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;316.011.566;316.021.635;10.069;10069;51200;41131
112609;316.021.635;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;316.021.635;316.072.835;51.200;51200;14069;-37131
